Date,Room1,Room2
8/14/2020 7:00,30.13,30.06
8/14/2020 7:01,30.06,30.13
8/14/2020 7:02,30.06,30.06
8/14/2020 7:03,30.06,30.06
8/14/2020 7:04,30.06,30.06
8/14/2020 7:05,30.06,30
8/14/2020 7:06,30,30.06
8/14/2020 7:07,30,29.94
8/14/2020 7:08,29.88,29.94
8/14/2020 7:09,29.94,30
8/14/2020 7:10,29.88,30
8/14/2020 7:11,29.94,29.94
8/14/2020 7:12,29.88,30
8/14/2020 7:13,29.88,30
8/14/2020 7:14,29.88,30
8/14/2020 7:15,29.88,30
8/14/2020 7:17,29.88,30.06
8/14/2020 7:18,29.88,30.06
8/14/2020 7:19,29.94,30
8/14/2020 7:20,29.88,30.06
8/14/2020 7:21,29.94,30.06
8/14/2020 7:22,29.88,30
8/14/2020 7:23,29.88,30
8/14/2020 7:24,29.88,30.06
8/14/2020 7:25,29.88,30.06
8/14/2020 7:26,29.94,30.13
8/14/2020 7:27,29.88,30.06
8/14/2020 7:28,29.94,30.13
8/14/2020 7:29,29.94,30.13
8/14/2020 7:30,29.88,30.13
8/14/2020 7:31,29.94,30.13
8/14/2020 7:32,29.88,30.19
8/14/2020 7:33,29.94,30.19
8/14/2020 7:34,29.94,30.25
8/14/2020 7:35,29.94,30.25
8/14/2020 7:36,30,30.31
8/14/2020 7:37,30,30.19
8/14/2020 7:38,30,30.25
8/14/2020 7:39,30,30.19
8/14/2020 7:40,29.94,30.25
8/14/2020 7:41,30,30.19
8/14/2020 7:42,29.94,30.13
8/14/2020 7:43,30,30
8/14/2020 7:44,30,30.19
8/14/2020 7:45,30,30.19
8/14/2020 7:46,30,30.19
8/14/2020 7:47,30,30.13
8/14/2020 7:48,29.94,30.13
8/14/2020 7:49,29.94,30.13
8/14/2020 7:50,29.94,29.94
8/14/2020 7:51,29.94,30.06
8/14/2020 7:52,29.88,30
8/14/2020 7:53,29.88,29.94
8/14/2020 7:54,29.88,30
8/14/2020 7:55,29.94,30
8/14/2020 7:56,29.88,30.06
8/14/2020 7:57,29.88,30
8/14/2020 7:58,29.88,30
8/14/2020 7:59,29.88,30
8/14/2020 8:00,29.81,30
8/14/2020 8:01,29.88,30.06
8/14/2020 8:02,29.88,30.19
8/14/2020 8:03,29.88,30.25
8/14/2020 8:04,29.94,30.31
8/14/2020 8:05,30,30.44
8/14/2020 8:06,30,30.44
8/14/2020 8:07,30.06,30.5
8/14/2020 8:08,30.19,30.56
8/14/2020 8:09,30.19,30.63
8/14/2020 8:10,30.25,30.63
8/14/2020 8:11,30.25,30.63
8/14/2020 8:12,30.31,30.69
8/14/2020 8:13,30.31,30.75
8/14/2020 8:14,30.44,30.81
8/14/2020 8:15,30.38,30.81
8/14/2020 8:16,30.44,30.81
8/14/2020 8:17,30.44,30.88
8/14/2020 8:18,30.5,30.88
8/14/2020 8:19,30.5,30.88
8/14/2020 8:20,30.56,30.94
8/14/2020 8:21,30.5,30.94
8/14/2020 8:22,30.5,31
8/14/2020 8:23,30.56,31
8/14/2020 8:24,30.56,31
8/14/2020 8:25,30.63,31
8/14/2020 8:26,30.63,31
8/14/2020 8:27,30.63,31
8/14/2020 8:28,30.63,31.06
8/14/2020 8:29,30.63,31.06
8/14/2020 8:30,30.69,31.06
8/14/2020 8:31,30.63,31.13
8/14/2020 8:32,30.75,31.13
8/14/2020 8:33,30.69,31.19
8/14/2020 8:34,30.75,31.13
8/14/2020 8:35,30.75,31.19
8/14/2020 8:36,30.81,31.19
8/14/2020 8:37,30.75,31.25
8/14/2020 8:38,30.81,31.25
8/14/2020 8:39,30.81,31.25
8/14/2020 8:40,30.81,31.31
8/14/2020 8:41,30.88,31.31
8/14/2020 8:42,30.94,31.31
8/14/2020 8:43,30.88,31.25
8/14/2020 8:44,30.81,31.31
8/14/2020 8:45,30.81,31.31
8/14/2020 8:46,30.88,31.25
8/14/2020 8:47,30.81,31.31
8/14/2020 8:48,30.88,31.31
8/14/2020 8:49,30.88,31.25
8/14/2020 8:50,30.88,31.31
8/14/2020 8:51,30.88,31.31
8/14/2020 8:52,30.88,31.31
8/14/2020 8:53,30.88,31.31
8/14/2020 8:54,30.88,31.31
8/14/2020 8:55,30.88,31.31
8/14/2020 8:56,30.88,31.38
8/14/2020 8:57,30.94,31.38
8/14/2020 8:58,30.94,31.38
8/14/2020 8:59,30.94,31.31
8/14/2020 9:00,30.94,31.38
8/14/2020 9:01,30.94,31.38
8/14/2020 9:02,30.88,31.38
8/14/2020 9:03,30.94,31.31
8/14/2020 9:04,30.88,31.31
8/14/2020 9:05,30.94,31.38
8/14/2020 9:06,30.94,31.38
8/14/2020 9:07,31,31.38
8/14/2020 9:08,31.06,31.44
8/14/2020 9:09,31.06,31.5
8/14/2020 9:10,31.06,31.5
8/14/2020 9:11,31.13,31.5
8/14/2020 9:12,31.13,31.56
8/14/2020 9:13,31.13,31.56
8/14/2020 9:14,31.13,31.44
8/14/2020 9:15,31.13,31.44
8/14/2020 9:17,31.13,31.5
8/14/2020 9:18,31.06,31.5
8/14/2020 9:19,31.13,31.5
8/14/2020 9:20,31.13,31.5
8/14/2020 9:21,31.13,31.5
8/14/2020 9:22,31.13,31.5
8/14/2020 9:23,31.06,31.5
8/14/2020 9:24,31.06,31.5
8/14/2020 9:25,31.13,31.44
8/14/2020 9:26,31,31.5
8/14/2020 9:27,31.06,31.44
8/14/2020 9:28,31.06,31.44
8/14/2020 9:29,31,31.44
8/14/2020 9:30,31.06,31.44
8/14/2020 9:31,31.06,31.44
8/14/2020 9:32,31.06,31.44
8/14/2020 9:33,31.06,31.5
8/14/2020 9:34,31.06,31.44
8/14/2020 9:35,31.06,31.44
8/14/2020 9:36,31.06,31.44
8/14/2020 9:37,31.06,31.44
8/14/2020 9:38,31.06,31.44
8/14/2020 9:39,31,31.5
8/14/2020 9:40,31.06,31.44
8/14/2020 9:41,31.13,31.44
8/14/2020 9:42,31.06,31.44
8/14/2020 9:43,31.06,31.38
8/14/2020 9:44,31.06,31.44
8/14/2020 9:45,31.06,31.44
8/14/2020 9:46,31,31.44
8/14/2020 9:47,31.06,31.44
8/14/2020 9:48,31.06,31.5
8/14/2020 9:49,31.06,31.44
8/14/2020 9:50,31.06,31.5
8/14/2020 9:51,31.06,31.5
8/14/2020 9:52,31.06,31.5
8/14/2020 9:53,31.06,31.56
8/14/2020 9:54,31.06,31.5
8/14/2020 9:55,31.13,31.5
8/14/2020 9:56,31.13,31.5
8/14/2020 9:57,31.13,31.5
8/14/2020 9:58,31.13,31.5
8/14/2020 9:59,31.13,31.5
8/14/2020 10:00,31.19,31.56
8/14/2020 10:01,31.25,31.56
8/14/2020 10:02,31.25,31.63
8/14/2020 10:03,31.31,31.63
8/14/2020 10:04,31.25,31.69
8/14/2020 10:05,31.25,31.63
8/14/2020 10:06,31.25,31.63
8/14/2020 10:07,31.25,31.63
8/14/2020 10:08,31.25,31.63
8/14/2020 10:09,31.25,31.69
8/14/2020 10:10,31.25,31.69
8/14/2020 10:11,31.25,31.63
8/14/2020 10:12,31.25,31.69
8/14/2020 10:13,31.31,31.69
8/14/2020 10:14,31.25,31.69
8/14/2020 10:15,31.31,31.63
8/14/2020 10:16,31.31,31.69
8/14/2020 10:17,31.31,31.69
8/14/2020 10:18,31.25,31.69
8/14/2020 10:19,31.31,31.75
8/14/2020 10:20,31.38,31.75
8/14/2020 10:21,31.38,31.81
8/14/2020 10:22,31.44,31.81
8/14/2020 10:23,31.44,31.88
8/14/2020 10:24,31.5,31.88
8/14/2020 10:25,31.56,31.88
8/14/2020 10:26,31.5,31.94
8/14/2020 10:27,31.56,31.94
8/14/2020 10:28,31.56,31.88
8/14/2020 10:29,31.56,31.94
8/14/2020 10:30,31.63,32
8/14/2020 10:31,31.63,31.94
8/14/2020 10:32,31.63,31.94
8/14/2020 10:33,31.63,31.94
8/14/2020 10:34,31.63,31.94
8/14/2020 10:35,31.63,31.94
8/14/2020 10:36,31.69,31.94
8/14/2020 10:37,31.69,31.94
8/14/2020 10:38,31.69,31.94
8/14/2020 10:39,31.69,31.94
8/14/2020 10:41,31.75,32
8/14/2020 10:42,31.75,32
8/14/2020 10:43,31.69,32
8/14/2020 10:44,31.69,32.06
8/14/2020 10:45,31.69,32
8/14/2020 10:46,31.75,32
8/14/2020 10:47,31.75,32.06
8/14/2020 10:48,31.75,32.06
8/14/2020 10:49,31.75,32.06
8/14/2020 10:50,31.75,32.06
8/14/2020 10:51,31.75,32.06
8/14/2020 10:52,31.75,32.06
8/14/2020 10:53,31.75,32.06
8/14/2020 10:54,31.81,32.06
8/14/2020 10:55,31.81,32.13
8/14/2020 10:56,31.75,32.06
8/14/2020 10:57,31.81,32.06
8/14/2020 10:58,31.81,32.13
8/14/2020 10:59,31.81,32.06
8/14/2020 11:00,31.88,32.06
8/14/2020 11:01,31.81,32.13
8/14/2020 11:02,31.88,32.13
8/14/2020 11:03,31.88,32.13
8/14/2020 11:04,31.81,32.06
8/14/2020 11:05,31.81,32.19
8/14/2020 11:06,31.81,32.13
8/14/2020 11:07,31.88,32.13
8/14/2020 11:08,31.81,32.19
8/14/2020 11:09,31.88,32.13
8/14/2020 11:10,31.88,32.19
8/14/2020 11:11,31.88,32.13
8/14/2020 11:12,31.88,32.19
8/14/2020 11:13,31.88,32.13
8/14/2020 11:14,31.88,32.13
8/14/2020 11:15,31.88,32.19
8/14/2020 11:16,31.88,32.19
8/14/2020 11:17,31.81,32.19
8/14/2020 11:18,31.94,32.19
8/14/2020 11:19,31.88,32.25
8/14/2020 11:20,31.94,32.25
8/14/2020 11:21,31.88,32.19
8/14/2020 11:22,31.94,32.25
8/14/2020 11:23,31.94,32.25
8/14/2020 11:24,31.94,32.25
8/14/2020 11:25,31.94,32.31
8/14/2020 11:26,32,32.31
8/14/2020 11:27,31.94,32.31
8/14/2020 11:28,32,32.31
8/14/2020 11:29,32,32.38
8/14/2020 11:30,32,32.25
8/14/2020 11:31,31.94,32.31
8/14/2020 11:32,31.94,32.38
8/14/2020 11:33,32,32.31
8/14/2020 11:34,32,32.31
8/14/2020 11:35,32,32.38
8/14/2020 11:36,32.06,32.38
8/14/2020 11:37,32.06,32.44
8/14/2020 11:38,32.06,32.44
8/14/2020 11:39,32.13,32.38
8/14/2020 11:40,32.13,32.5
